,User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
184,1000319,P00361942,F,51-55,6,B,3,1,1,2.0,15.0,4229
185,1000321,P00181942,M,18-25,4,B,3,0,11,,,3215
186,1000324,P00312742,M,36-45,17,B,0,1,15,,,4198
187,1000326,P0097242,M,51-55,11,B,1,1,1,16.0,,15474
188,1000326,P00002142,M,51-55,11,B,1,1,1,5.0,8.0,15588
189,1000326,P00295342,M,51-55,11,B,1,1,2,8.0,,9523
190,1000326,P00323642,M,51-55,11,B,1,1,8,,,5996
191,1000326,P00101542,M,51-55,11,B,1,1,13,16.0,,762
192,1000327,P00297542,M,36-45,18,C,4+,0,8,,,7874
193,1000327,P00115742,M,36-45,18,C,4+,0,6,10.0,16.0,20483
194,1000329,P00030842,M,36-45,7,A,1,0,1,2.0,15.0,8272
195,1000329,P00072842,M,36-45,7,A,1,0,5,8.0,,1940
196,1000329,P00033642,M,36-45,7,A,1,0,5,8.0,,5388
197,1000331,P00013742,M,26-35,7,B,1,0,5,,,5260
198,1000331,P00158042,M,26-35,7,B,1,0,8,,,8107
199,1000333,P00343042,M,36-45,2,A,0,1,5,18.0,,5302
200,1000333,P00100642,M,36-45,2,A,0,1,5,15.0,,7045
201,1000336,P00157542,M,18-25,0,C,4+,0,8,14.0,,6041
202,1000337,P00278942,M,18-25,19,C,0,0,1,2.0,3.0,19691
203,1000338,P00249742,M,36-45,7,A,1,0,1,15.0,18.0,11813
204,1000338,P00288242,M,36-45,7,A,1,0,5,14.0,,6970
205,1000338,P00111742,M,36-45,7,A,1,0,15,,,8750
206,1000339,P00285742,M,51-55,7,C,1,1,8,,,6195
207,1000339,P00101142,M,51-55,7,C,1,1,8,,,8080
208,1000342,P00356742,M,18-25,12,C,4+,0,5,,,7159
209,1000346,P0096542,F,26-35,0,B,2,0,3,4.0,12.0,13339
210,1000349,P00142142,M,0-17,10,C,0,0,1,2.0,15.0,11550
211,1000352,P00228342,M,18-25,4,A,0,0,1,13.0,16.0,15482
212,1000352,P0098742,M,18-25,4,A,0,0,8,,,8125
213,1000353,P00148642,F,36-45,7,C,1,1,6,10.0,13.0,20058
214,1000355,P00278942,M,18-25,3,B,2,0,1,2.0,3.0,15534
215,1000355,P00157142,M,18-25,3,B,2,0,11,16.0,,1644
216,1000355,P00296042,M,18-25,3,B,2,0,8,13.0,16.0,8128
217,1000357,P00002042,M,18-25,0,A,4+,0,1,,,4488
218,1000359,P00183142,M,26-35,17,B,1,0,15,,,13228
219,1000366,P00193642,M,51-55,15,B,1,1,2,3.0,4.0,10051
220,1000369,P00337542,M,36-45,1,B,2,0,5,14.0,,3735
221,1000372,P00351342,F,18-25,4,C,2,0,1,2.0,16.0,15295
222,1000374,P00002142,F,36-45,14,C,0,0,1,5.0,8.0,19349
223,1000376,P00304842,M,36-45,1,C,4+,1,8,,,9697
224,1000376,P00190542,M,36-45,1,C,4+,1,3,4.0,,13508
225,1000377,P00117442,M,26-35,17,B,2,0,5,14.0,,5143
226,1000380,P00209842,M,26-35,2,C,1,0,5,8.0,,8702
227,1000380,P00289342,M,26-35,2,C,1,0,5,8.0,14.0,7045
228,1000381,P00346242,M,36-45,17,C,2,0,1,15.0,,15686
229,1000386,P00103242,M,26-35,0,A,1,1,8,,,9884
230,1000386,P00049542,M,26-35,0,A,1,1,8,,,2168
231,1000390,P00354342,M,26-35,4,A,0,0,5,11.0,,5479
232,1000390,P00226442,M,26-35,4,A,0,0,11,15.0,,4541
233,1000391,P00355642,M,46-50,11,C,2,1,16,,,8523
234,1000392,P00330642,M,18-25,7,A,0,0,5,,,5169
235,1000392,P00117942,M,18-25,7,A,0,0,5,15.0,,6983
236,1000392,P00050342,M,18-25,7,A,0,0,5,8.0,17.0,3527
237,1000398,P00156742,M,26-35,17,B,3,1,5,6.0,8.0,8646
238,1000398,P00010842,M,26-35,17,B,3,1,8,16.0,,9851
239,1000401,P00042142,M,18-25,0,B,3,0,1,2.0,6.0,12092
240,1000403,P00073842,M,18-25,4,A,2,0,1,15.0,17.0,15596
241,1000403,P0098342,M,18-25,4,A,2,0,1,2.0,,15584
242,1000403,P00109542,M,18-25,4,A,2,0,8,14.0,17.0,9907
243,1000406,P00073842,M,26-35,20,A,3,0,1,15.0,17.0,7898
244,1000411,P00123842,F,46-50,1,B,0,1,11,15.0,,4630
245,1000411,P00334242,F,46-50,1,B,0,1,1,8.0,,11391
246,1000411,P00057942,F,46-50,1,B,0,1,1,2.0,6.0,11729
247,1000412,P00120942,M,36-45,15,A,1,1,8,,,9713
248,1000412,P00367942,M,36-45,15,A,1,1,5,,,8868
249,1000423,P00250242,M,18-25,4,A,1,0,5,,,5308
250,1000424,P00246142,M,26-35,17,A,3,0,1,15.0,17.0,15802
251,1000424,P00089342,M,26-35,17,A,3,0,8,,,9847
252,1000424,P00320042,M,26-35,17,A,3,0,1,8.0,,11761
253,1000424,P00231942,M,26-35,17,A,3,0,11,,,5966
254,1000424,P00212442,M,26-35,17,A,3,0,11,16.0,,4603
255,1000424,P00307342,M,26-35,17,A,3,0,8,,,5986
256,1000425,P00223142,M,26-35,12,B,1,1,5,,,8882
257,1000425,P00331942,M,26-35,12,B,1,1,5,,,7143
258,1000426,P00265242,M,18-25,4,A,1,1,5,8.0,,8890
259,1000429,P00238542,M,18-25,0,C,1,0,5,14.0,,5300
260,1000429,P00277442,M,18-25,0,C,1,0,1,6.0,15.0,8101
261,1000429,P00030942,M,18-25,0,C,1,0,4,5.0,9.0,1390
262,1000434,P00288442,F,46-50,3,C,1,0,5,14.0,,3427
263,1000436,P00012242,M,18-25,4,C,1,0,2,4.0,9.0,3780
264,1000438,P00032442,M,18-25,11,A,3,0,5,,,6943
265,1000438,P00260042,M,18-25,11,A,3,0,5,8.0,,5353
266,1000438,P00318142,M,18-25,11,A,3,0,2,,,13129
267,1000438,P00085942,M,18-25,11,A,3,0,2,4.0,8.0,13270
268,1000439,P00359742,M,36-45,14,B,3,1,1,5.0,,11968
269,1000443,P00085242,M,26-35,3,A,0,1,8,14.0,17.0,9792
270,1000446,P00178142,F,51-55,0,C,2,0,8,17.0,,9958
271,1000449,P00245642,M,26-35,7,C,3,0,5,11.0,12.0,7162
272,1000451,P00026642,M,55+,13,C,4+,1,8,,,7845
273,1000454,P00059442,M,26-35,20,C,2,1,6,8.0,16.0,20086
274,1000454,P00199442,M,26-35,20,C,2,1,5,9.0,,6884
275,1000461,P00077042,M,51-55,7,B,0,0,5,,,1786
276,1000461,P00127042,M,51-55,7,B,0,0,4,5.0,,2164
277,1000461,P00042342,M,51-55,7,B,0,0,8,16.0,,6102
278,1000464,P00110542,F,18-25,4,A,3,0,8,,,8090
279,1000466,P00085642,M,26-35,5,A,2,0,5,14.0,,8618
280,1000467,P00153842,F,36-45,3,B,4+,1,8,14.0,16.0,9883
281,1000474,P00034342,M,26-35,17,B,1,0,5,,,5196
282,1000474,P00027642,M,26-35,17,B,1,0,8,,,4254
283,1000474,P00210042,M,26-35,17,B,1,0,8,14.0,,7763
284,1000476,P00266442,M,36-45,0,B,0,0,5,,,8739
285,1000476,P00000342,M,36-45,0,B,0,0,5,14.0,,5201
286,1000478,P00071442,M,51-55,16,A,2,0,15,17.0,,21233
287,1000482,P00026742,M,26-35,14,A,2,1,8,11.0,,7864
288,1000482,P00054042,M,26-35,14,A,2,1,18,,,3054
289,1000482,P00053742,M,26-35,14,A,2,1,5,14.0,,5379
290,1000482,P0094742,M,26-35,14,A,2,1,2,4.0,5.0,9649
291,1000483,P00086442,M,18-25,12,A,4+,0,8,13.0,15.0,7763
292,1000493,P00213242,M,51-55,7,C,1,1,5,8.0,,6911
293,1000499,P00346542,F,26-35,1,A,1,0,10,13.0,16.0,14414
294,1000503,P00343042,M,36-45,11,C,0,1,5,18.0,,8778
295,1000506,P00249142,M,26-35,16,C,1,0,5,,,7180
296,1000508,P00100442,M,26-35,12,B,0,0,2,4.0,5.0,12788
297,1000510,P00183342,M,18-25,12,C,3,0,5,15.0,18.0,8638
298,1000513,P00228242,M,26-35,0,C,4+,0,8,,,6070
299,1000517,P00317142,F,26-35,14,A,1,0,2,15.0,,9608
300,1000517,P00309942,F,26-35,14,A,1,0,5,,,5182
301,1000518,P00220442,F,36-45,12,C,4+,0,5,14.0,,8755
302,1000518,P00024342,F,36-45,12,C,4+,0,8,14.0,,9776
303,1000518,P00029442,F,36-45,12,C,4+,0,8,14.0,,9728
304,1000523,P00115142,M,51-55,7,A,1,1,1,8.0,17.0,19029
305,1000524,P00128942,M,18-25,0,A,0,0,1,11.0,,19607
306,1000524,P00074042,M,18-25,0,A,0,0,16,,,4151
307,1000524,P00041042,M,18-25,0,A,0,0,1,16.0,,15746
308,1000524,P00206442,M,18-25,0,A,0,0,1,5.0,9.0,3857
309,1000526,P00112142,M,46-50,17,C,1,1,1,2.0,14.0,12070
310,1000531,P00295842,F,18-25,14,B,0,0,5,8.0,,5331
311,1000531,P00190142,F,18-25,14,B,0,0,3,4.0,5.0,13388
312,1000531,P00187942,F,18-25,14,B,0,0,4,8.0,,2054
313,1000531,P00103042,F,18-25,14,B,0,0,1,14.0,,15745
314,1000531,P00324942,F,18-25,14,B,0,0,5,,,5242
315,1000533,P00195742,M,26-35,12,A,1,0,3,4.0,,10563
316,1000533,P00261842,M,26-35,12,A,1,0,2,14.0,,6367
317,1000536,P00105142,M,26-35,20,C,1,0,1,2.0,15.0,19332
318,1000540,P0099342,M,18-25,1,B,1,0,5,8.0,,8685
319,1000541,P00069042,F,18-25,4,C,3,0,3,,,11037
320,1000543,P00183242,M,26-35,5,B,4+,1,5,15.0,,7031
321,1000546,P00053642,F,26-35,0,B,0,0,7,,,12591
322,1000547,P00145442,M,36-45,12,B,3,0,8,15.0,,9997
323,1000549,P00113442,M,26-35,6,A,3,0,3,5.0,,13414
324,1000549,P00069342,M,26-35,6,A,3,0,5,,,8734
325,1000549,P00071242,M,26-35,6,A,3,0,1,15.0,16.0,15239
326,1000549,P00346042,M,26-35,6,A,3,0,6,8.0,15.0,15920
327,1000549,P00086142,M,26-35,6,A,3,0,5,,,8824
328,1000549,P00088842,M,26-35,6,A,3,0,8,,,10060
329,1000549,P00104842,M,26-35,6,A,3,0,8,,,8098
330,1000550,P00258742,M,46-50,8,B,1,1,5,,,5289
331,1000550,P00345742,M,46-50,8,B,1,1,1,2.0,15.0,15767
332,1000550,P00019142,M,46-50,8,B,1,1,11,15.0,,4494
333,1000550,P00240442,M,46-50,8,B,1,1,6,16.0,,12422
334,1000550,P00298942,M,46-50,8,B,1,1,1,5.0,,7800
335,1000551,P00321942,M,36-45,20,A,4+,1,5,,,5290
336,1000552,P00349942,M,51-55,18,C,3,1,1,5.0,,11851
337,1000553,P00036242,M,26-35,2,B,1,0,5,8.0,,7068
338,1000554,P00270242,M,26-35,12,C,0,1,8,,,7813
339,1000556,P00085942,F,26-35,9,B,4+,0,2,4.0,8.0,13250
340,1000563,P00079742,M,26-35,4,A,3,0,1,2.0,15.0,3865
341,1000566,P00235542,M,26-35,17,A,3,0,11,16.0,,3211
342,1000566,P00345742,M,26-35,17,A,3,0,1,2.0,15.0,8008
343,1000569,P00031842,F,18-25,4,C,3,1,1,5.0,12.0,15536
344,1000570,P00054242,M,26-35,4,A,4+,0,1,6.0,14.0,11638
345,1000570,P00112442,M,26-35,4,A,4+,0,6,8.0,,16270
346,1000577,P00028842,M,36-45,0,A,3,0,6,8.0,,20045
347,1000583,P00189842,F,26-35,0,A,4+,0,3,4.0,5.0,13647
348,1000587,P00254242,M,26-35,20,B,3,0,5,11.0,12.0,5257
349,1000587,P00133742,M,26-35,20,B,3,0,5,14.0,,7068
350,1000587,P00029742,M,26-35,20,B,3,0,5,,,3523
351,1000588,P00110742,F,26-35,11,B,1,0,1,2.0,8.0,11971
352,1000588,P00296242,F,26-35,11,B,1,0,8,,,7771
353,1000591,P00015742,M,26-35,0,C,1,0,7,,,12429
354,1000593,P00141942,F,51-55,1,C,4+,0,5,8.0,14.0,7029
355,1000594,P00100742,F,55+,13,B,3,0,5,17.0,,8577
356,1000595,P00189142,M,26-35,7,A,1,0,8,,,9975
357,1000595,P00044442,M,26-35,7,A,1,0,1,16.0,,19697
358,1000604,P00229342,M,46-50,17,C,2,1,5,14.0,,5289
359,1000604,P00163242,M,46-50,17,C,2,1,1,8.0,14.0,11678
360,1000605,P00173042,F,18-25,4,C,0,0,13,15.0,16.0,951
361,1000606,P0096442,F,0-17,10,C,2,0,4,5.0,12.0,3533
362,1000608,P00046042,M,18-25,4,C,3,1,5,17.0,,5154
363,1000608,P00274942,M,18-25,4,C,3,1,8,,,5988
364,1000611,P00057642,M,36-45,0,C,1,0,1,15.0,16.0,19555
365,1000611,P00062842,M,36-45,0,C,1,0,1,2.0,13.0,15815
366,1000613,P00000142,M,36-45,20,C,1,1,3,4.0,5.0,13610
367,1000620,P00156742,M,18-25,0,A,3,0,5,6.0,8.0,3665
368,1000623,P00370642,M,26-35,17,C,3,1,8,16.0,,7976
369,1000623,P00080642,M,26-35,17,C,3,1,1,16.0,,15756
370,1000624,P00058242,M,26-35,1,B,3,0,3,4.0,12.0,10888
371,1000625,P00129542,F,36-45,12,C,2,1,8,14.0,,6133
372,1000625,P00126042,F,36-45,12,C,2,1,8,14.0,,10016
373,1000628,P00303042,F,36-45,0,C,2,0,5,,,5432
374,1000631,P00159442,M,36-45,17,C,3,1,5,8.0,,8636
375,1000634,P00151842,F,0-17,10,C,4+,0,4,8.0,9.0,2868
376,1000639,P00178242,M,46-50,17,B,2,1,8,,,10008
377,1000639,P00036842,M,46-50,17,B,2,1,1,14.0,16.0,7598
378,1000639,P00183442,M,46-50,17,B,2,1,1,2.0,,15903
379,1000639,P00194542,M,46-50,17,B,2,1,8,14.0,,8136
380,1000639,P00182342,M,46-50,17,B,2,1,1,5.0,6.0,15342
381,1000641,P00003942,F,36-45,0,A,2,1,5,14.0,,7010
382,1000644,P00360942,M,26-35,20,C,2,1,8,,,2314
383,1000646,P00129342,M,36-45,7,C,2,0,1,5.0,15.0,3866
384,1000646,P00114942,M,36-45,7,C,2,0,1,15.0,16.0,12105
385,1000646,P00271442,M,36-45,7,C,2,0,18,,,2393
386,1000651,P00228442,M,36-45,7,B,2,0,1,17.0,,11389
387,1000651,P00115642,M,36-45,7,B,2,0,8,14.0,,9848
388,1000654,P00000642,M,51-55,7,C,4+,1,1,6.0,16.0,15598
389,1000654,P00228242,M,51-55,7,C,4+,1,8,,,7943
390,1000655,P00347042,F,26-35,2,B,2,0,8,,,3993
391,1000655,P00108842,F,26-35,2,B,2,0,5,15.0,,5262
392,1000657,P00004342,F,51-55,13,C,1,0,8,,,8088
393,1000669,P00148342,M,26-35,17,B,2,0,5,,,6898
394,1000669,P00113342,M,26-35,17,B,2,0,1,8.0,17.0,19055
