User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000163,P00305142,M,18-25,4,A,1,0,1,,,11575
1000165,P00346342,M,18-25,16,A,1,0,1,15.0,,11400
1000166,P00046742,M,18-25,4,B,1,1,1,2.0,15.0,15470
1000166,P00318142,M,18-25,4,B,1,1,2,,,9752
1000166,P00034742,M,18-25,4,B,1,1,5,14.0,17.0,8843
1000166,P00226442,M,18-25,4,B,1,1,11,15.0,,3172
1000169,P00288042,M,26-35,7,B,3,0,8,,,7999
1000169,P00119142,M,26-35,7,B,3,0,3,4.0,12.0,5423
1000169,P00176042,M,26-35,7,B,3,0,8,17.0,,6146
1000169,P00259342,M,26-35,7,B,3,0,5,9.0,,8655
1000169,P00279642,M,26-35,7,B,3,0,7,,,8466
1000169,P00316742,M,26-35,7,B,3,0,4,5.0,,2750
1000169,P00042942,M,26-35,7,B,3,0,1,15.0,,15851
1000170,P00111142,M,26-35,11,C,1,1,1,15.0,16.0,19696
1000171,P00100442,F,51-55,17,B,1,1,2,4.0,5.0,16018
1000173,P00279142,M,26-35,0,B,1,1,7,,,16590
1000173,P00050242,M,26-35,0,B,1,1,8,,,8053
1000174,P00113342,M,26-35,16,C,2,0,1,8.0,17.0,19396
1000175,P00302742,F,26-35,2,B,1,0,8,,,9805
1000175,P00057542,F,26-35,2,B,1,0,3,4.0,5.0,10604
1000175,P00064042,F,26-35,2,B,1,0,3,4.0,12.0,10681
1000181,P00034042,M,18-25,17,C,1,0,1,2.0,16.0,15825
1000182,P00028842,M,18-25,4,C,0,0,6,8.0,,16234
1000185,P00147942,M,46-50,0,C,0,0,1,16.0,,15780
1000187,P00102242,F,46-50,1,B,1,0,8,12.0,,7801
1000187,P00283242,F,46-50,1,B,1,0,5,8.0,,7031
1000187,P00017742,F,46-50,1,B,1,0,8,14.0,,8053
1000187,P0009942,F,46-50,1,B,1,0,5,,,7052
1000187,P00161442,F,46-50,1,B,1,0,5,14.0,,6907
1000190,P00125342,M,26-35,17,A,1,0,11,,,4508
1000192,P00208742,M,18-25,1,B,2,0,1,6.0,16.0,12001
1000192,P00159542,M,18-25,1,B,2,0,10,15.0,16.0,9565
1000193,P00089542,F,46-50,15,C,1,1,5,,,5447
1000195,P0099742,M,26-35,12,B,4+,1,3,4.0,5.0,8182
1000195,P00153642,M,26-35,12,B,4+,1,8,,,7784
1000195,P00089242,M,26-35,12,B,4+,1,2,5.0,,12890
1000195,P00136442,M,26-35,12,B,4+,1,14,,,7670
1000195,P00287542,M,26-35,12,B,4+,1,8,,,8120
1000202,P00321742,M,18-25,4,A,3,0,5,8.0,17.0,5471
1000202,P00145442,M,18-25,4,A,3,0,8,15.0,,9979
1000202,P00027642,M,18-25,4,A,3,0,8,,,5823
1000202,P00137242,M,18-25,4,A,3,0,5,,,5384
1000202,P00328342,M,18-25,4,A,3,0,5,,,6966
1000206,P00285842,M,26-35,17,C,1,0,5,,,1961
1000208,P00200642,M,36-45,17,C,1,1,10,16.0,,18781
1000208,P00213242,M,36-45,17,C,1,1,5,8.0,,8851
1000210,P00063342,F,0-17,10,C,0,0,1,2.0,9.0,3829
1000214,P00351142,M,18-25,20,C,1,0,1,8.0,17.0,11417
1000223,P00218842,M,26-35,17,B,4+,0,5,,,6970
1000225,P00255742,M,26-35,7,A,0,0,3,4.0,,8182
1000225,P00021042,M,26-35,7,A,0,0,8,14.0,,6149
1000229,P00307342,M,18-25,10,C,1,0,8,,,6197
1000229,P00335542,M,18-25,10,C,1,0,8,,,5914
1000229,P00363742,M,18-25,10,C,1,0,5,,,3472
1000230,P00173842,M,46-50,1,C,1,0,1,2.0,15.0,19190
1000235,P00173342,M,26-35,0,B,0,0,1,6.0,14.0,19648
1000235,P00138542,M,26-35,0,B,0,0,5,6.0,,8685
1000235,P00276142,M,26-35,0,B,0,0,12,,,1386
1000238,P00347342,F,51-55,7,B,0,0,8,,,5953
1000242,P00003942,F,18-25,4,A,3,0,5,14.0,,5453
1000242,P00278942,F,18-25,4,A,3,0,1,2.0,3.0,15288
1000244,P00285642,M,51-55,7,B,3,1,2,5.0,15.0,9920
1000245,P00233342,M,36-45,16,B,0,0,1,15.0,16.0,11638
1000245,P00285442,M,36-45,16,B,0,0,8,,,5855
1000245,P00136342,M,36-45,16,B,0,0,4,5.0,,1398
1000246,P00271142,F,18-25,4,C,1,0,5,,,8731
1000249,P00138542,F,18-25,14,C,2,0,5,6.0,,8671
1000250,P00327842,M,36-45,16,C,1,0,8,16.0,,9974
1000257,P00046142,M,18-25,18,A,1,0,1,16.0,,19200
1000257,P00010242,M,18-25,18,A,1,0,5,,,8643
1000258,P00268342,M,26-35,7,C,0,1,5,,,5227
1000260,P00243942,M,18-25,19,C,1,0,1,2.0,15.0,8159
1000261,P00313542,M,26-35,20,A,4+,0,5,8.0,,7002
1000263,P00145442,F,26-35,7,C,1,0,8,15.0,,5817
1000265,P00135742,F,36-45,7,A,4+,1,6,8.0,,16614
1000267,P00156442,M,46-50,12,C,1,1,8,,,8020
1000268,P00139942,F,18-25,12,C,1,0,5,,,3706
1000268,P00143342,F,18-25,12,C,1,0,1,14.0,16.0,11845
1000268,P00282042,F,18-25,12,C,1,0,5,15.0,,5447
1000271,P00303242,M,18-25,4,C,1,0,5,8.0,,8674
1000271,P00018142,M,18-25,4,C,1,0,5,,,3555
1000272,P00017542,M,18-25,0,A,1,0,5,,,8716
1000272,P00217942,M,18-25,0,A,1,0,5,,,8737
1000272,P00178242,M,18-25,0,A,1,0,8,,,9862
1000282,P00171342,M,26-35,17,C,4+,1,13,16.0,,580
1000284,P00251242,M,26-35,12,B,3,1,5,11.0,,7111
1000284,P00236542,M,26-35,12,B,3,1,8,11.0,,8070
1000287,P00277642,M,51-55,13,B,1,1,2,3.0,10.0,9523
1000291,P00130842,M,36-45,12,B,2,0,5,14.0,,5470
1000293,P00049542,M,55+,1,C,1,1,8,,,9773
1000293,P00320942,M,55+,1,C,1,1,1,4.0,9.0,4375
1000295,P00304242,M,18-25,0,C,4+,0,1,6.0,,11535
1000298,P00328042,F,18-25,4,C,2,0,8,14.0,,7797
1000299,P00279642,M,26-35,12,C,4+,0,7,,,20407
1000301,P00101942,M,18-25,4,B,4+,0,8,17.0,,9973
1000302,P00187442,M,18-25,4,B,4+,0,2,4.0,5.0,9918
1000302,P00029242,M,18-25,4,B,4+,0,8,,,7863
1000302,P00111142,M,18-25,4,B,4+,0,1,15.0,16.0,15675
1000303,P00048042,M,26-35,7,C,1,1,1,6.0,8.0,19508
1000304,P00273342,M,26-35,0,B,1,0,10,,,23139
1000306,P00237542,M,18-25,0,C,3,0,1,15.0,16.0,15247
1000306,P00146742,M,18-25,0,C,3,0,1,13.0,14.0,15742
1000308,P00366442,M,26-35,2,A,3,1,8,12.0,,7923
1000308,P00339342,M,26-35,2,A,3,1,1,,,11528
1000308,P00118042,M,26-35,2,A,3,1,8,,,7949
1000309,P00142142,M,26-35,4,B,1,0,1,2.0,15.0,15223
1000314,P00258742,F,55+,9,C,1,0,5,,,6883
1000318,P00219842,F,55+,13,A,1,1,5,,,7179
1000319,P00003642,F,51-55,6,B,3,1,8,,,9875
1000319,P00029742,F,51-55,6,B,3,1,5,,,5216
1000319,P00120042,F,51-55,6,B,3,1,1,2.0,,15179
1000319,P00370342,F,51-55,6,B,3,1,8,,,7973
1000321,P00113342,M,18-25,4,B,3,0,1,8.0,17.0,15460
1000326,P00052842,M,51-55,11,B,1,1,10,15.0,,18440
1000326,P00278042,M,51-55,11,B,1,1,1,,,11709
1000327,P00089042,M,36-45,18,C,4+,0,13,,,563
1000327,P00120542,M,36-45,18,C,4+,0,8,14.0,,8044
1000327,P00366542,M,36-45,18,C,4+,0,5,,,7092
1000329,P00181742,M,36-45,7,A,1,0,11,16.0,,1491
1000329,P00072842,M,36-45,7,A,1,0,5,8.0,,1940
1000331,P00113642,M,26-35,7,B,1,0,8,,,9884
1000331,P00304442,M,26-35,7,B,1,0,1,16.0,,15827
1000331,P00047742,M,26-35,7,B,1,0,16,,,8521
1000331,P00052742,M,26-35,7,B,1,0,16,,,8750
1000331,P00161242,M,26-35,7,B,1,0,1,5.0,12.0,7613
1000331,P00271042,M,26-35,7,B,1,0,6,16.0,,20566
1000338,P00249742,M,36-45,7,A,1,0,1,15.0,18.0,11813
1000338,P00121342,M,36-45,7,A,1,0,1,5.0,18.0,11618
1000338,P00209842,M,36-45,7,A,1,0,5,8.0,,5147
1000340,P00190742,F,26-35,3,C,1,1,3,4.0,9.0,5536
1000342,P00105142,M,18-25,12,C,4+,0,1,2.0,15.0,15211
1000343,P00155242,F,36-45,3,B,2,0,3,4.0,12.0,10909
1000346,P00201442,F,26-35,0,B,2,0,1,6.0,8.0,19284
1000347,P00126042,F,55+,1,A,1,0,8,14.0,,7866
1000348,P00178142,M,51-55,7,B,2,1,8,17.0,,8118
1000350,P00075442,M,46-50,20,C,3,0,5,11.0,,5315
1000352,P00216342,M,18-25,4,A,0,0,3,4.0,5.0,13359
1000352,P00211042,M,18-25,4,A,0,0,5,,,8864
1000352,P00302642,M,18-25,4,A,0,0,16,,,8857
1000355,P00157142,M,18-25,3,B,2,0,11,16.0,,1644
1000355,P00329542,M,18-25,3,B,2,0,1,15.0,16.0,15543
1000360,P00187742,M,36-45,17,C,1,0,2,4.0,,13110
1000362,P00127442,M,36-45,20,B,1,0,1,2.0,15.0,7914
1000363,P00274142,M,18-25,10,B,1,1,1,,,15217
1000366,P00178242,M,51-55,15,B,1,1,8,,,8021
1000369,P00045842,M,36-45,1,B,2,0,5,14.0,,3605
1000372,P00222042,F,18-25,4,C,2,0,1,8.0,,11568
1000375,P00349242,M,26-35,2,B,1,0,8,,,8108
1000377,P00341342,M,26-35,17,B,2,0,1,8.0,17.0,11513
1000377,P00035842,M,26-35,17,B,2,0,5,6.0,9.0,5264
1000377,P00119742,M,26-35,17,B,2,0,5,8.0,12.0,8782
1000387,P00116542,F,36-45,7,C,0,0,5,17.0,,8841
1000390,P00320442,M,26-35,4,A,0,0,6,10.0,,12204
1000391,P00340042,M,46-50,11,C,2,1,5,8.0,,8584
1000392,P00241742,M,18-25,7,A,0,0,5,,,6937
1000396,P00282442,M,26-35,1,C,1,0,5,8.0,18.0,5328
1000396,P00319042,M,26-35,1,C,1,0,5,,,5290
1000397,P00044442,M,36-45,17,B,2,0,1,16.0,,19484
1000397,P00106042,M,36-45,17,B,2,0,5,,,5267
1000398,P00129642,M,26-35,17,B,3,1,5,,,8895
1000399,P00255742,F,36-45,6,B,1,1,3,4.0,,10613
1000399,P00300042,F,36-45,6,B,1,1,16,,,16341
1000403,P00126142,M,18-25,4,A,2,0,8,16.0,,5890
1000405,P00050342,M,55+,1,C,2,0,5,8.0,17.0,7148
1000406,P00212942,M,26-35,20,A,3,0,5,,,5442
1000408,P00005042,M,26-35,11,A,0,0,6,16.0,,20489
1000409,P00275642,M,18-25,12,B,4+,0,8,,,7957
1000409,P00158242,M,18-25,12,B,4+,0,6,8.0,,16298
1000411,P00178342,F,46-50,1,B,0,1,8,,,8112
1000413,P00121142,M,26-35,11,C,0,0,8,,,9951
1000422,P00279442,M,55+,17,A,4+,0,16,,,16261
1000423,P00220342,M,18-25,4,A,1,0,5,,,1960
1000424,P00177142,M,26-35,17,A,3,0,8,13.0,,9932
1000424,P00074142,M,26-35,17,A,3,0,3,4.0,12.0,8138
1000424,P00089342,M,26-35,17,A,3,0,8,,,9847
1000424,P00282642,M,26-35,17,A,3,0,5,,,7088
1000424,P00124942,M,26-35,17,A,3,0,11,,,4671
1000424,P00180542,M,26-35,17,A,3,0,11,,,1494
1000424,P00104542,M,26-35,17,A,3,0,8,,,7798
1000424,P00114042,M,26-35,17,A,3,0,5,14.0,,6888
1000429,P00238542,M,18-25,0,C,1,0,5,14.0,,5300
1000429,P00310142,M,18-25,0,C,1,0,5,15.0,,3523
1000429,P00145442,M,18-25,0,C,1,0,8,15.0,,9746
1000429,P00015742,M,18-25,0,C,1,0,7,,,12661
1000435,P00182342,M,26-35,7,A,4+,0,1,5.0,6.0,15424
1000438,P00174442,M,18-25,11,A,3,0,5,,,7169
1000438,P00054342,M,18-25,11,A,3,0,7,,,16544
1000439,P00210042,M,36-45,14,B,3,1,8,14.0,,4175
1000442,P00319042,M,26-35,1,A,2,0,5,,,8780
1000442,P00195442,M,26-35,1,A,2,0,5,,,5294
1000444,P00031042,M,55+,0,A,3,0,8,,,8020
1000445,P00059642,M,46-50,12,A,1,1,1,2.0,3.0,12058
1000448,P00274942,M,26-35,17,C,0,0,8,,,10061
1000454,P00364442,M,26-35,20,C,2,1,1,2.0,9.0,4400
1000454,P00289342,M,26-35,20,C,2,1,5,8.0,14.0,8905
1000457,P00250842,M,18-25,4,B,2,0,8,,,7858
1000457,P00220442,M,18-25,4,B,2,0,5,14.0,,5359
1000457,P00120742,M,18-25,4,B,2,0,8,12.0,17.0,7874
1000457,P00048042,M,18-25,4,B,2,0,1,6.0,8.0,15339
1000457,P00279542,M,18-25,4,B,2,0,8,,,8106
1000457,P00051642,M,18-25,4,B,2,0,8,,,7909
1000461,P00227542,M,51-55,7,B,0,0,13,,,952
1000461,P00118142,M,51-55,7,B,0,0,8,17.0,,9772
1000461,P00088042,M,51-55,7,B,0,0,1,2.0,,15486
1000462,P0097842,M,18-25,16,C,1,1,5,,,5321
1000466,P00031742,M,26-35,5,A,2,0,8,,,7795
1000474,P00249642,M,26-35,17,B,1,0,3,5.0,,13543
1000474,P00064042,M,26-35,17,B,1,0,3,4.0,12.0,10758
1000480,P00145442,F,18-25,4,C,1,0,8,15.0,,8106
1000482,P00029242,M,26-35,14,A,2,1,8,,,8129
1000482,P00133842,M,26-35,14,A,2,1,8,,,6077
1000498,P00350942,M,36-45,17,A,1,0,3,4.0,5.0,8029
1000498,P00315642,M,36-45,17,A,1,0,8,13.0,,4016
1000501,P00209742,M,26-35,2,C,4+,1,1,11.0,15.0,7641
1000508,P00226342,M,26-35,12,B,0,0,11,15.0,,5987
1000509,P00246342,M,26-35,2,A,0,1,11,15.0,,6023
1000510,P00251642,M,18-25,12,C,3,0,1,2.0,4.0,19340
1000513,P00228242,M,26-35,0,C,4+,0,8,,,6070
1000517,P00186542,F,26-35,14,A,1,0,2,4.0,8.0,9875
1000522,P00282042,M,26-35,12,C,1,0,5,15.0,,8810
1000523,P00266642,M,51-55,7,A,1,1,1,8.0,9.0,15262
1000524,P00348542,M,18-25,0,A,0,0,1,16.0,,15882
1000524,P00126042,M,18-25,0,A,0,0,8,14.0,,7983
1000524,P00171342,M,18-25,0,A,0,0,13,16.0,,750
1000524,P00052742,M,18-25,0,A,0,0,16,,,8670
1000529,P00320442,M,36-45,12,C,1,0,6,10.0,,16660
1000530,P00245642,M,26-35,2,A,1,1,5,11.0,12.0,7138
1000531,P00155342,F,18-25,14,B,0,0,5,13.0,,3552
1000531,P00231142,F,18-25,14,B,0,0,5,8.0,,5251
1000532,P00119142,M,26-35,7,C,2,0,3,4.0,12.0,7971
1000533,P00110542,M,26-35,12,A,1,0,8,,,7983
1000533,P00138542,M,26-35,12,A,1,0,5,6.0,,8846
1000533,P00036842,M,26-35,12,A,1,0,1,14.0,16.0,11490
1000533,P00105342,M,26-35,12,A,1,0,1,2.0,15.0,15306
1000536,P00035542,M,26-35,20,C,1,0,3,4.0,12.0,13502
1000539,P00112542,M,26-35,2,C,4+,0,1,11.0,15.0,15520
1000540,P00117442,M,18-25,1,B,1,0,5,14.0,,3663
1000540,P00352142,M,18-25,1,B,1,0,1,6.0,16.0,11471
1000543,P00304142,M,26-35,5,B,4+,1,5,11.0,,8774
1000543,P00271542,M,26-35,5,B,4+,1,18,,,3811
1000543,P00259842,M,26-35,5,B,4+,1,1,14.0,16.0,15874
1000543,P00221742,M,26-35,5,B,4+,1,1,8.0,,15897
1000543,P00119142,M,26-35,5,B,4+,1,3,4.0,12.0,13472
1000543,P00000442,M,26-35,5,B,4+,1,5,8.0,,5178
1000548,P00178642,F,36-45,16,C,1,1,5,15.0,,8615
1000549,P00069342,M,26-35,6,A,3,0,5,,,8734
1000549,P00071242,M,26-35,6,A,3,0,1,15.0,16.0,15239
1000549,P00209942,M,26-35,6,A,3,0,5,8.0,,5394
1000549,P00274242,M,26-35,6,A,3,0,1,,,19258
1000549,P00190742,M,26-35,6,A,3,0,3,4.0,9.0,13195
1000550,P00070542,M,46-50,8,B,1,1,3,15.0,,13459
1000550,P00093642,M,46-50,8,B,1,1,6,,,16023
1000550,P00115942,M,46-50,8,B,1,1,8,17.0,,6180
1000551,P00112442,M,36-45,20,A,4+,1,6,8.0,,8529
1000552,P00349942,M,51-55,18,C,3,1,1,5.0,,11851
1000553,P00036242,M,26-35,2,B,1,0,5,8.0,,7068
1000556,P00085942,F,26-35,9,B,4+,0,2,4.0,8.0,13250
1000560,P00248942,M,46-50,15,C,1,1,1,6.0,14.0,19409
1000560,P00112542,M,46-50,15,C,1,1,1,11.0,15.0,19339
1000563,P00345842,M,26-35,4,A,3,0,2,8.0,14.0,9630
1000566,P00302042,M,26-35,17,A,3,0,5,,,1957
1000566,P00200642,M,26-35,17,A,3,0,10,16.0,,13837
1000566,P00235542,M,26-35,17,A,3,0,11,16.0,,3211
1000569,P00036542,F,18-25,4,C,3,1,4,5.0,,2103
1000570,P00170242,M,26-35,4,A,4+,0,2,3.0,4.0,13315
1000583,P00084342,F,26-35,0,A,4+,0,13,16.0,,932
1000583,P00109242,F,26-35,0,A,4+,0,6,8.0,10.0,12124
1000583,P00244042,F,26-35,0,A,4+,0,1,2.0,15.0,11568
1000585,P00366542,M,18-25,1,A,1,0,5,,,7033
1000586,P00110742,M,36-45,14,C,3,1,1,2.0,8.0,19240
1000587,P00222442,M,26-35,20,B,3,0,5,,,6853
1000588,P00271142,F,26-35,11,B,1,0,5,,,7132
1000588,P00126142,F,26-35,11,B,1,0,8,16.0,,10062
1000588,P00022342,F,26-35,11,B,1,0,8,16.0,,9865
1000590,P00332942,F,36-45,6,C,1,0,5,8.0,,7175
1000591,P00003942,M,26-35,0,C,1,0,5,14.0,,3736
1000597,P00250342,M,36-45,12,C,3,1,16,,,12381
1000599,P00110542,M,51-55,6,A,3,1,8,,,9882
1000601,P00022942,F,18-25,20,B,3,1,5,8.0,,8866
1000604,P00120042,M,46-50,17,C,2,1,1,2.0,,11897
1000604,P00187842,M,46-50,17,C,2,1,1,16.0,,15172
1000605,P00042842,F,18-25,4,C,0,0,5,,,3697
1000608,P00046042,M,18-25,4,C,3,1,5,17.0,,5154
1000622,P00024042,M,26-35,0,B,1,1,7,,,16509
1000623,P00031442,M,26-35,17,C,3,1,5,8.0,,6987
1000624,P00114042,M,26-35,1,B,3,0,5,14.0,,6952
1000626,P00036842,M,18-25,4,B,4+,1,1,14.0,16.0,11811
1000629,P00210342,F,0-17,10,C,2,0,3,4.0,,10817
1000630,P00117942,F,36-45,14,C,2,0,5,15.0,,6983
1000631,P00170442,M,36-45,17,C,3,1,5,,,8725
1000632,P00173842,M,46-50,17,C,2,0,1,2.0,15.0,15478
1000633,P00022742,M,26-35,17,B,4+,0,8,,,6135
1000634,P00003442,F,0-17,10,C,4+,0,4,5.0,8.0,2102
1000635,P0098742,M,55+,17,C,4+,1,8,,,7907
1000635,P00177242,M,55+,17,C,4+,1,12,,,1773
1000637,P00124342,M,36-45,12,B,2,1,11,,,7566
1000638,P00110842,M,26-35,6,C,1,1,1,2.0,5.0,19216
1000638,P00192042,M,26-35,6,C,1,1,5,9.0,14.0,7037
1000638,P00344342,M,26-35,6,C,1,1,8,14.0,,6125
1000639,P00221342,M,46-50,17,B,2,1,1,2.0,5.0,15392
1000639,P00102842,M,46-50,17,B,2,1,8,,,7879
1000639,P00248442,M,46-50,17,B,2,1,3,4.0,,10670
1000644,P00304142,M,26-35,20,C,2,1,5,11.0,,8758
1000644,P00360942,M,26-35,20,C,2,1,8,,,2314
1000644,P00317842,M,26-35,20,C,2,1,8,,,8087
1000646,P00346142,M,36-45,7,C,2,0,1,15.0,,15837
1000646,P00058242,M,36-45,7,C,2,0,3,4.0,12.0,10685
1000648,P00117542,F,26-35,12,B,1,1,18,,,3131
1000651,P00042742,M,36-45,7,B,2,0,5,14.0,,5193
1000651,P00115642,M,36-45,7,B,2,0,8,14.0,,9848
1000652,P00309342,M,18-25,20,C,3,0,16,,,4557
1000654,P00228242,M,51-55,7,C,4+,1,8,,,7943
1000655,P00328642,F,26-35,2,B,2,0,8,16.0,,3915
1000657,P00004342,F,51-55,13,C,1,0,8,,,8088
1000661,P00121342,M,46-50,1,C,2,1,1,5.0,18.0,19559
1000666,P00087342,F,18-25,0,C,2,0,5,14.0,16.0,8659
1000667,P00075442,M,26-35,18,C,2,1,5,11.0,,7168
1000668,P00270942,F,26-35,3,C,2,0,1,2.0,15.0,12109
1000670,P00089942,M,26-35,12,B,3,1,8,,,5930
1000671,P00089442,M,18-25,4,C,0,0,8,,,9919
1000671,P00175442,M,18-25,4,C,0,0,8,,,7811
1000673,P00003642,M,26-35,20,A,4+,0,8,,,6005
1000676,P00337542,M,18-25,16,B,1,1,5,14.0,,5267
1000677,P00150942,M,51-55,2,B,1,1,6,11.0,13.0,16479
