type,id,name,uuid,city,area,avgRating,totalRatingsString,OrderDate,deliveryTime,age_group,minDeliveryTime,maxDeliveryTime,channel,address,locality,unserviceable,veg,name,Ingredients
F,40844,Hocco Eatery,1332292b-13d3-4a93-9988-f168e356ea27,Ahmedabad,Gulbai Tekra,4.4,50+ ratings,04-02-2020,29,0-18 years,29,29,Restaurant,Havmor Panchvati C.G.Road Ahmedabad - 380006,Panchvati,FALSE,TRUE,COCONUT CHOCOLATE COOKIE,"MILK, SUGAR, PEANUTS, CREAM, EGG AND EGG YOLK, DEXTROSE, COCONUT OIL, CHOCOLATE, COCOA (PROCESSED WITH ALKALI), COCOA BUTTER, SKIM MILK, SALT, CAROB BEAN GUM, SOY LECITHIN, NATURAL FLAVOR, COCOA, VANILLA EXTRACT"
F,395939,KFC,a1e80ffd-90dc-4b8a-9cb6-714b96f8d173,Ahmedabad,Paldi & Ambawadi,4.2,500+ ratings,14-09-2019,37,19-24 years,37,37,Restaurant,KFC- CG Road - GF 7 Ground Floor  3rd Eye Two Near Panchwati Cross Road CG Road Ahmedabad 380009,Panchwati Cross,FALSE,FALSE,COFFEE CHOCOLATE CHIP GELATO,"MILK, SUGAR, CREAM, CHOCOLATE (PROCESSED WITH ALKALI), ALMONDS, COCONUT CONCENTRATE, COCONUT, DEXTROSE, COCONUT AND SOYBEAN AND SUNFLOWER OILS, SALT, CAROB BEAN GUM, SOY LECITHIN, VANILLA EXTRACT, NATURAL FLAVOR"
F,59439,Vadilal Scoop shop,12a6754d-a1a1-4be5-8d45-616edb3e8756,Ahmedabad,Paldi,4.4,20+ ratings,30-07-2020,24,24-30 years,24,24,Restaurant,Opposite VS Hospital Near Pavan Travels Ellis Bridge Ahmedabad,Ellis Bridge,FALSE,FALSE,COFFEE COOKIE CRUMBLE,"WATER, SUGAR, DESICCATED COCONUT, COCONUT OIL, WHEAT FLOUR, DEXTROSE, COCOA PROCESSED WITH ALKALI, ROLLED OATS, CHOCOLATE LIQUOR, BROWN SUGAR, CANOLA OIL, CAROB BEAN GUM, NATURAL FLAVOR, SEA SALT, SUNFLOWER LECITHIN, PECTIN, GUAR GUM, BAKING SODA, SALT, SOY LECITHIN"
F,252004,Om Food Center - Vastrapur Lake,06f841a3-c404-4f67-a1d0-4489f01718f9,Ahmedabad,Vastrapur,4.1,100+ ratings,20-03-2019,44,0-18 years,44,44,Restaurant,Shop no. 6 Himalayan arcade-A Opp. Vastrapur lake Vastrapur Ahmedabad- 380015,Vastrapur,FALSE,FALSE,COLD BREW COFFEE SORBETTO,"MILK, SUGAR, EGG YOLK AND EGG, CREAM, DEXTROSE, CHOCOLATE (PROCESSED WITH ALKALI), COFFEE, COCONUT OIL, CAROB GUM, SOYBEAN OIL, NATURAL FLAVOR, SOY LECITHIN"
F,53268,Alpine Restaurant & Banquet,9e6a9ab3-cc2c-4d3a-8621-31c6f77543e8,Ahmedabad,Paldi,--,Too Few Ratings,20-09-2020,32,19-24 years,32,32,Restaurant,Rangoli Complex Opposite V.S. Hospital,Ellis Bridge,FALSE,TRUE,DARK CHOCOLATE CHERRY,"MILK, SUGAR†, CREAM, CHOCOLATE, EGG YOLKS, WATER, WHEAT FLOUR, CORN SYRUP†, SKIM MILK, DEXTROSE†, COCOA (PROCESSED WITH ALKALI), PALM OIL, NATURAL FLAVOR, MILK FAT, COFFEE, COCOA BUTTER, VANILLA EXTRACT, EGG WHITES, SOY LECITHIN, CAROB BEAN GUM, CHOCOLATE (PROCESSED WITH ALKALI), SUNFLOWER LECITHIN, PECTIN, LEMON JUICE CONCENTRATE, MOLASSES†, BAKING SODA, SALT, GUAR GUM, LEMON PEEL"
F,63469,Udupi Shree Darshini Restaurant,599f6bf3-6a3d-4272-8b5e-8a5ab677e8c2,Ahmedabad,Ellisbridge,4.4,500+ ratings,14-03-2020,28,24-30 years,28,28,Restaurant,Ellis Bridge Shopping Center Near Town Hall Ellis Bridge Ahmedabad,Ellis Bridge,FALSE,TRUE,DARK CHOCOLATE SORBETTO,"WATER, SUGAR, EGG YOLKS AND EGG WHITES, COCONUT OIL, ALMONDS, COFFEE EXTRACT CONCENTRATE, DEXTROSE, CAROB BEAN GUM,VANILLA EXTRACT"
F,37733,Sweet Truth - Cake and Desserts,c7f54cac-b6f3-484f-8995-2ae1931d3f01,Ahmedabad,Vastrapur,4.2,100+ ratings,26-01-2020,44,0-18 years,44,44,Restaurant,SHOP NO 2 HOTEL SHAHI PALACE VASTRAPUR LAKE AHMEDABAD GUJARAT,HOTEL SHAHI PALACE,FALSE,FALSE,DOUBLE DARK CHOCOLATE GELATO,"MILK, SUGAR, CREAM, EGG YOLKS AND EGG WHITES, CHOCOLATE, COCOA PROCESSED WITH ALKALI, COCONUT OIL, DEXTROSE, WATER, CHERRY PUREE, CANOLA OIL, VERMOUTH, CHERRY JUICE CONCENTRATE, MILK FAT, COCOA BUTTER, WHEY, LEMON JUICE CONCENTRATE, VANILLA EXTRACT, CHOCOLATE PROCESSED WITH ALKALI, CAROB BEAN GUM, COCOA, SOY LECITHIN, SALT, NATURAL FLAVOR"
F,390395,Radhanand Restaurant,69c8ff92-feb1-4dfd-8547-76669447f4de,Ahmedabad,Paldi & Ambawadi,--,Too Few Ratings,11-05-2019,34,19-24 years,34,34,Restaurant,old daliya building opp.town hall karnavti hospital road ellisbridge  Ahmedabad-380006,Paldi & Ambawadi,FALSE,FALSE,FUDGE BROWNIE GELATO,"WATER, SUGAR, COCOA PROCESSED WITH ALKALI, DEXTROSE, COCONUT OIL, EGG YOLKS, EGG WHITES, CHOCOLATE LIQUOR, CAROB BEAN GUM, SEA SALT, NATURAL FLAVOR, PECTIN"
F,79269,M.M.Parotha House,50f9bc62-22d1-41b7-b8c8-46bff8e3ed11,Ahmedabad,Ellisbridge,3.7,50+ ratings,13-08-2020,27,24-30 years,27,27,Restaurant,Dalia Building  Nr.Karnawati Hospital Ellisbridge Ahmedabad-380006,Ellisbridge Ahmedabad,FALSE,TRUE,HAZELNUT CHOCOLATE CHIP GELATO,"MILK, SUGAR, CREAM, CHOCOLATE, EGG AND EGG YOLK, DEXTROSE, COCOA (PROCESSED WITH ALKALI), VERMOUTH, MILK FAT, COCOA BUTTER, CAROB GUM, CHOCOLATE (PROCESSED WITH ALKALI), SOY LECITHIN, VANILLA EXTRACT"
F,54309,Ristretto Behind The Rods,3f840fbb-ad9f-4c7b-9a8d-d08af1e36ac1,Ahmedabad,Navrangpura,4,50+ ratings,14-09-2019,40,0-18 years,40,40,Restaurant,B5 Ground Floor Maharaja Palace University Road Near Vijay Cross Roads Navrangpura Ahmedabad,Navrangpura,FALSE,FALSE,KEY LIME PIE GELATO,"MILK, SUGAR, CREAM, EGG AND EGG YOLK, CHOCOLATE, DEXTROSE, COCOA (PROCESSED WITH ALKALI), WHEAT FLOUR, PALM OIL, SKIM MILK, FRUCTOSE, BROWN SUGAR, CAROB GUM, COCOA, SOYBEAN OIL, SALT, NATURAL FLAVOR, SOY LECITHIN, CORN STARCH"
F,432316,Jay Ambe Fast Food and Restaurant,ec4b0ccf-6bfb-4ffb-83b4-1a6b8644273e,Ahmedabad,Paldi & Ambawadi,--,Too Few Ratings,17-10-2019,35,19-24 years,35,35,Restaurant,909-916 Sakar 2 near Ellisbridge opposite Town hall Ellisbridge Ahmedabad Gujarat 380006 Indien,Paldi & Ambawadi,FALSE,TRUE,LEMON BERRY PIE,"MILK, SUGAR, CREAM, HAZELNUTS, CHOCOLATE, DEXTROSE, MILK FAT, COCOA BUTTER, CAROB BEAN GUM, CHOCOLATE (PROCESSED WITH ALKALI), VANILLA EXTRACT, XANTHAN GUM, SOY LECITHIN"
F,55065,Hotel The Lotus Park,28177767-8e35-428d-8492-2ec78fc3141a,Ahmedabad,Paldi,4,500+ ratings,31-12-2019,31,24-30 years,31,31,Restaurant,Iscon Square Opposite Kothawala Flat Ellisbridge Paldi Ahmedabad,Paldi,FALSE,TRUE,MADAGASCAN VANILLA BEAN GELATO,"MILK, SUGAR, CREAM, DEXTROSE, WHEAT FLOUR, COTTONSEED OIL, WHOLE WHEAT GRAHAM FLOUR, COCONUT OIL, CANOLA OIL, CAROB GUM, VANILLA EXTRACT, PALM AND PALM KERNEL OIL, WHEAT BRAN, HONEY, NATURAL FLAVOR, SALT, MOLASSES, SOY LECITHIN, WHEAT GERM, CINNAMON"
F,328563,Pick Up Meals by Terra,9bdba207-c087-42c2-9c54-8829474bf86e,Ahmedabad,Vishala,4.2,100+ ratings,11-07-2019,49,24-30 years,49,49,Restaurant,C11 Rajyash Rise Near Vishala Restaurant Vasna AhmedabadGujarat-380007,Vasna,FALSE,FALSE,MEDITERRANEAN MINT GELATO,"MILK, SUGAR†, CREAM, LEMON JUICE, WHEAT FLOUR, TAPIOCA SYRUP, WATER, COCONUT OIL, BLUEBERRIES, DEXTROSE†, EGG YOLKS, PALM OIL, NATURAL FLAVOR, WHEAT BRAN, WHOLE EGG, CAROB BEAN GUM, GUAR GUM, SALT, BAKING SODA, LEMON PEEL, WHEAT GERM, SOY LECITHIN, PECTIN, RED CABBAGE JUICE (COLOR)"
F,37689,McDonald's,62999147-dc3f-4ca3-96a9-c5aed4b58428,Ahmedabad,Ellisbridge,4.3,500+ ratings,15-05-2020,29,30-36 years,29,29,Restaurant,Shop# 1 & 2  Ground Floor 3rd Eye 2 Building Panchavati Circle Oppo Parimal Garden Ellisebridge Ahmedabad- 380009.,CG Road,FALSE,FALSE,MINT FUDGE COOKIE,"MILK, SUGAR, CREAM, DEXTROSE, VANILLA EXTRACT, SUNFLOWER LECITHIN, CAROB BEAN GUM, GUAR GUM, NATURAL FLAVOR, LEMON PEEL"
F,147639,429 Restaurant,1f591ef8-1617-41cf-9aeb-0a61aedd0b50,Ahmedabad,Ellisbridge,3.9,20+ ratings,27-09-2020,32,30-36 years,32,32,Restaurant,Hotel Golden Plaza Opposite Townhall Near Karnavati Hospital Ellis Bridge Ahmedabad,Ellis Bridge,FALSE,FALSE,OLD WORLD EGGNOG GELATO,"MILK, SUGAR, CREAM, CHOCOLATE, DEXTROSE, MILK FAT, COCOA BUTTER, SUNFLOWER LECITHIN, CAROB BEAN GUM, NATURAL FLAVOR, GUAR GUM, CHOCOLATE (PROCESSED WITH ALKALI), VANILLA EXTRACT, SOY LECITHIN, MINT LEAF EXTRACTIVES"
F,54871,9834 The Fruit Truck,908f0e2d-a187-438f-b593-39888a3b5095,Ahmedabad,Jodhpur Tekra,4.5,100+ ratings,22-04-2020,40,36-45 years,40,40,Restaurant,Shop no 23 Shivalay 2 Jodhpur Village Rd Satellite Ahmedabad Gujarat 380015,Satellite,FALSE,TRUE,ORGANIC BROWN BUTTER CARAMEL,"MILK, SUGAR, CREAM, COCONUT OIL, WHEAT FLOUR, COCOA PROCESSED WITH ALKALI, SKIM MILK, WATER, ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON,THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), DEXTROSE, CHOCOLATE, CANOLA OIL, PALM OIL AND SOYBEAN OIL, BUTTER (CREAM, SALT), NATURAL FLAVOR, SUNFLOWER LECITHIN, SOY LECITHIN, CAROB BEAN GUM, DRIED CANE SYRUP, COCOA, GUAR GUM, BAKING SODA, SALT, CORN STARCH, VANILLA EXTRACT, MINT LEAF EXTRACTIVES"
F,391434,Al Kafeel Biryani,55c963f1-3eea-49bc-a80b-6c8914812424,Ahmedabad,Navrangpura,--,Too Few Ratings,21-03-2019,34,36-45 years,34,34,Restaurant,Hotel Golden Plaza 829-530EllisbridgeAhmedabadGujarat        380006,Navrangpura,FALSE,FALSE,ORGANIC CHOCOLATE MOUSSE GELATO,"MILK, SUGAR, CREAM, DEXTROSE, EGG YOLKS, CAROB GUM, VANILLA EXTRACT, NUTMEG, NATURAL FLAVOR"
F,55068,Ambrosia Restaurant,907910c2-025e-486e-a03b-e411612cc51f,Ahmedabad,Ellisbridge,--,Too Few Ratings,16-07-2020,33,45-55 years,33,33,Restaurant,Atithi The Hotel Near Nagri Hospital Law Garden Road Ellis Bridge Ahmedabad,Ellis Bridge,FALSE,TRUE,ORGANIC GINGER MATCHA GELATO,"ORGANIC SKIM MILK, ORGANIC CANE SUGAR, ORGANIC CREAM, ORGANIC MILK, ORGANIC BUTTER (CREAM, SALT). ORGANIC GLUCOSE SYRUP, ORGANIC EGG YOLKS, ORGANIC DEXTROSE, ORGANIC CARAMELIZED SUGAR (ORGANIC CANE SUGAR, WATER), BAKING SODA, PECTIN, ORGANIC CAROB BEAN GUM, ORGANIC VANILLA EXTRACT, SEA SALT"
F,160529,Apna Fal,265d0412-dc82-4efd-a73a-004eb6059473,Ahmedabad,Jodhpur Tekra,4.2,100+ ratings,09-09-2019,39,45-55 years,39,39,Restaurant,B-17 Neha park society Near Bileshwar  mahadev road   jodhpur gam satellite  ahmedabad,,FALSE,FALSE,ORGANIC OAK-AGED VANILLA GELATO,"ORGANIC SKIM MILK, ORGANIC CANE SUGAR, ORGANIC CREAM, ORGANIC MILK, ORGANIC EGG WHITES AND EGG YOLKS, ORGANIC DEXTROSE, ORGANIC CHOCOLATE, ORGANIC COCOA PROCESSED WITH ALKALI, WATER, ORGANIC BUTTER (ORGANIC CREAM, SALT), ORGANIC CAROB BEAN GUM, ORGANIC BLACK COCOA PROCESSED WITH ALKALI"
F,239753,The Halal Kitchen,7bac6834-aa3a-4ee6-b504-30bc69dd3d2c,Ahmedabad,Ellisbridge,4.1,100+ ratings,02-02-2020,31,55+ years,31,31,Restaurant,Hotel Golden plaza Opp Town Hall Nr Ellisbridge Ahmedabad Gujarat,Paldi & Ambawadi,FALSE,FALSE,PACIFIC COAST PISTACHIO GELATO,"ORGANIC SKIM MILK, ORGANIC CREAM, ORGANIC CANE SUGAR, ORGANIC DEXTROSE, ORGANIC GINGER, ORGANIC MATCHA GREEN TEA, ORGANIC GREEN TEA, ORGANIC CAROB BEAN GUM, ORGANIC VANILLA EXTRACT, ORGANIC LEMON JUICE CONCENTRATE"
F,50934,Choice Snack Bar,d40f1d3f-f284-43dc-b30b-fb7c1ee9cf4b,Ahmedabad,Navrangpura,4.4,100+ ratings,01-05-2019,33,55+ years,33,33,Restaurant,Yamuna Building Near Swastik Cross Road C G Road Ahmedabad,C G Road,FALSE,FALSE,PEANUT BUTTER FUDGE SORBETTO,"INGREDIENTS: ORGANIC SKIM MILK, ORGANIC CREAM, ORGANIC CANE SUGAR, ORGANIC DEXTROSE, OAKWOOD EXTRACT, ORGANIC CAROB BEAN GUM, ORGANIC VANILLA EXTRACT"
F,363604,Magic Chicken,fb402a60-2f2c-41d9-a537-e4074e231b4e,Ahmedabad,Lal Darwaja,4.4,100+ ratings,06-07-2019,37,0-18 years,37,37,Retail Food Store,SHOP NO.2 CHARYANA HEIGHTS Ahmedabad Municipal Corporation Gujarat-380001,LalDarwaja,FALSE,FALSE,PEANUT BUTTER VANILLA FUDGE,"MILK, SUGAR, CREAM, PISTACHIOS, DEXTROSE, CAROB BEAN GUM, NATURAL FLAVOR, VANILLA EXTRACT"
F,341232,London Yard Pizza,a5d332eb-1a18-4de9-9082-4a10265b77d6,Ahmedabad,Ellisbridge,4,50+ ratings,30-12-2019,30,0-18 years,30,30,Retail Food Store,G-6 Ground Floor Capstone Building Netaji Road Opposite Chirag Motors Ellis Bridge Ahmedabad,Paldi & Ambawadi,FALSE,TRUE,PEPPERMINT BARK GELATO,"WATER, PEANUTS, SUGAR, DEXTROSE, SALT, COCOA PROCESSED WITH ALKALI, CORN SYRUP, COCONUT OIL, CHOCOLATE, CORN STARCH, SEA SALT, VANILLA EXTRACT, CAROB BEAN GUM, GUAR GUM, XANTHAN GUM"
F,64772,Hotel Zk,4b8d49b4-0cde-4248-b990-8c67feeda164,Ahmedabad,Lal Darwaja,3.8,100+ ratings,14-01-2020,46,19-24 years,46,46,Retail Food Store,Opposite Relief Cinema Relief Road Ahmedabad,Relief Road,FALSE,FALSE,PUMPKIN PIE,"MILK, SUGAR, CREAM, PEANUTS, COCONUT OIL, WHEAT FLOUR, SKIM MILK, WATER, COCOA PROCESSED WITH ALKALI, BUTTER (CREAM, SALT), CHOCOLATE, DEXTROSE, PEANUT OIL, BROWN SUGAR, EGGS, NATURAL FLAVOR, SALT, SUNFLOWER LECITHIN, VANILLA EXTRACT, CAROB BEAN GUM, COCOA, BAKING SODA, GUAR GUM, SOY LECITHIN"
F,270067,Mexicano by the Bay - Cafe,74875df8-933d-470b-a458-7fc9c37766b1,Ahmedabad,Ellisbridge,--,Too Few Ratings,18-07-2020,36,19-24 years,36,36,Retail Food Store,Ground Floor Riverfront House Behind Vallabhsadan Near Nehru Bridge Riverfront house Road Ahmedabad Gujarat.,Nehrubridge,FALSE,TRUE,RASPBERRY CHEESECAKE GELATO,"MILK, SUGAR, CREAM, CHOCOLATE (PROCESSED WITH ALKALI), DEXTROSE, COCOA BUTTER, COCONUT AND SOYBEAN OIL, VANILLA EXTRACT, CAROB GUM, SOY LECITHIN, NATURAL FLAVOR"
F,274015,Wagh Bakri Tea Lounge,825cadee-03c9-4e13-8fe1-16530e75853f,Ahmedabad,Ellisbridge,--,Too Few Ratings,20-03-2020,33,24-30 years,33,33,Retail Food Store,Capstone 1 2 Ground Floor Old Sharda Mandir Crossroads Gujarat College Rd Ahmedabad Gujarat,Paldi & Ambawadi,FALSE,TRUE,ROMAN RASPBERRY SORBETTO,"MILK, SUGAR†, CREAM, WHEAT FLOUR, PUMPKIN, WATER, BUTTER, BROWN SUGAR†, COCONUT OIL, DEXTROSE†, TAPIOCA STARCH, EGG, SUNFLOWER LECITHIN, CINNAMON, NATURAL FLAVOR, CAROB BEAN GUM, SALT, CARROT POWDER (COLOR), NUTMEG, GUAR GUM, VANILLA EXTRACT"
F,194256,Karnavati Snacks,46b5db98-5c70-46fd-87f7-d2df8318e3f0,Ahmedabad,Paldi,--,Too Few Ratings,28-03-2020,33,24-30 years,33,33,Restaurant,G.f.4Dev Arpan complexopp. Kocharab ashram nr.VS road Paldi Ahmedabad,Science City,FALSE,TRUE,SALTED CARAMEL TRUFFLE,"MILK, SUGAR, CREAM, CREAM CHEESE (MILK, CREAM, CHEESE CULTURE, SALT, CAROB GUM, GUAR GUM, XANTHAN GUM), CORN SYRUP, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THAIMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), BALSAMIC VINEGAR (RED WINE VINEGAR, GRAPE MUST), EGG, WHOLE WHEAT GRAHAM FLOUR, RASPBERRY PUREE, VANILLA EXTRACT, CAROB GUM, MODIFIED CORN STARCH, PALM OIL, BROWN SUGAR, NATURAL FLAVOR, COLOR ADDED, CARRAGEENAN, HONEY, SALT, SOY LECITHIN"
F,35971,Foodinn - Fine Dine,0adc4652-f007-4785-9cfc-6bfd8ea1e17f,Ahmedabad,Ellisbridge,4,100+ ratings,03-06-2019,31,0-18 years,31,31,Restaurant,Ground Floor Mohini-II Opposite Gandhigram Railway Station Ashram Road Ahmedabad,Ashram Road,FALSE,FALSE,SEA SALT CARAMEL GELATO,"RASPBERRIES, WATER, SUGAR, DEXTROSE, LEMON JUICE, CAROB BEAN GUM"
F,65590,Spice Zone,83bd05fe-9b9f-46b0-b6d2-78b46b127da2,Ahmedabad,Ellisbridge,4.4,50+ ratings,25-04-2019,33,0-18 years,33,33,Retail Food Store,Le Grande Residency Old Sharda Mandir Cross Road Ellis Bridge Ahmedabad,Ellis Bridge,FALSE,TRUE,SOUTHERN BUTTER PECAN GELATO,"MILK, SUGAR, SKIM MILK, CREAM, WATER, COCONUT OIL, CORN SYRUP, WHOLE EGG AND EGG YOLK, COCOA PROCESSED WITH ALKALI, ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), DEXTROSE, PALM OIL AND SOYBEAN OIL, BAKING SODA, VANILLA EXTRACT, CAROB BEAN GUM, SUNFLOWER LECITHIN, SEA SALT, SOY LECITHIN, NATURAL FLAVOR, DRIED CANE SYRUP, COCOA, BUTTER (CREAM, SALT), GUAR GUM, CORN STARCH, SALT"
F,42313,Udipi Cafe,2b8e23e2-30d5-4d10-bbc5-c16168594dac,Ahmedabad,Paldi,4.2,100+ ratings,02-02-2019,26,19-24 years,26,26,Retail Food Store,Paldi Cross Roads Paldi Ahmedabad,Paldi,FALSE,TRUE,STRAWBERRY HIBISCUS SORBETTO,"MILK, SKIM MILK, SUGAR, CREAM, EGG YOLK AND WHOLE EGG, CORN SYRUP, COCONUT OIL, DEXTROSE, COCOA (PROCESSED WITH ALKALI), SEA SALT, CAROB BEAN GUM, VANILLA EXTRACT, SOY LECITHIN, NATURAL FLAVOR"
